Student Number,Age,Gender,Residency,Class Standing,Scholarship,Study_Hours_Per_Week,Attendance_Rate,Y1_GWA,Y2_GWA,Y3_GWA,Y4_GWA,GPA_Trend,Final_GWA,Performance_Category
22-00157,24,Female,Dorm,Regular,No,28,85,1.86,1.79,1.74,2.05,Stable,1.84,Good
22-00158,24,Male,Family House,Regular,No,17,95,1.74,1.88,1.81,2.02,Stable,1.84,Good
22-00159,23,Male,Family House,Irregular,Yes,22,83,2.08,1.75,1.5,1.77,Improving,1.79,Good
22-00160,20,Female,Dorm,Regular,Yes,20,85,2.24,2.14,2.24,1.95,Stable,2.17,At-Risk
22-00161,21,Female,Dorm,Regular,No,28,96,1.69,1.6,1.68,1.57,Stable,1.65,Excellent
22-00162,23,Male,Dorm,Regular,No,16,94,1.96,1.81,1.62,1.77,Stable,1.8,Good
22-00163,22,Male,Family House,Regular,No,30,80,1.77,1.96,1.62,1.93,Stable,1.81,Good
22-00164,21,Female,Family House,Regular,No,20,92,1.92,1.93,1.96,1.6,Improving,1.88,Good
22-00165,23,Male,Family House,Regular,Yes,20,79,2.2,2.08,2.11,2.08,Stable,2.13,At-Risk
22-00166,22,Male,Dorm,Regular,No,25,83,1.73,2.01,2.0,1.77,Stable,1.88,Good
22-00167,24,Male,Family House,Regular,No,10,82,2.06,2.14,2.31,2.02,Stable,2.14,At-Risk
22-00168,24,Female,Dorm,Regular,No,16,87,1.79,1.64,2.01,1.88,Stable,1.82,Good
22-00169,24,Female,Dorm,Irregular,Yes,30,89,2.04,1.67,1.44,1.73,Improving,1.73,Good
22-00170,20,Female,Family House,Regular,Yes,23,86,1.94,2.07,1.97,2.3,Declining,2.04,Good
22-00171,24,Male,Family House,Regular,Yes,20,97,2.02,1.81,1.72,1.75,Stable,1.84,Good
22-00172,21,Female,Dorm,Regular,No,24,89,2.17,1.85,1.79,2.05,Stable,1.96,Good
22-00173,20,Female,Family House,Regular,No,33,97,1.37,1.57,1.64,1.6,Stable,1.53,Excellent
22-00174,21,Male,Family House,Irregular,Yes,29,82,2.21,1.85,1.69,1.88,Improving,1.93,Good
22-00175,23,Female,Family House,Regular,No,34,92,1.62,1.64,1.61,1.55,Stable,1.61,Excellent
22-00176,22,Female,Family House,Regular,No,18,95,1.73,1.83,1.72,2.15,Declining,1.82,Good
22-00177,24,Female,Dorm,Regular,Yes,30,96,1.76,1.44,1.64,1.82,Stable,1.65,Excellent
22-00178,24,Male,Family House,Regular,No,8,70,2.27,2.12,2.15,2.48,Stable,2.23,At-Risk
22-00179,23,Male,Dorm,Regular,No,21,81,1.95,1.83,1.99,1.82,Stable,1.91,Good
22-00180,20,Female,Family House,Regular,Yes,13,88,2.05,2.26,1.9,2.15,Stable,2.08,Good
22-00181,22,Female,Family House,Regular,Yes,35,100,1.67,1.57,1.71,1.8,Stable,1.67,Good
22-00182,22,Female,Dorm,Regular,Yes,25,97,1.71,1.61,1.67,1.82,Stable,1.69,Good
22-00183,24,Male,Dorm,Regular,No,20,71,2.26,2.26,2.12,2.48,Stable,2.26,At-Risk
22-00184,20,Female,Dorm,Irregular,No,8,71,2.13,2.1,1.79,2.17,Stable,2.04,Good
22-00185,22,Male,Family House,Regular,No,18,84,1.98,1.96,2.15,1.9,Stable,2.01,Good
22-00186,22,Female,Family House,Regular,No,22,86,2.02,1.94,1.92,2.1,Stable,1.99,Good
22-00187,22,Male,Dorm,Regular,No,13,70,2.1,2.08,2.14,2.4,Stable,2.15,At-Risk
22-00188,22,Male,Family House,Irregular,No,30,89,2.11,1.68,2.04,1.95,Stable,1.95,Good
22-00189,21,Male,Dorm,Regular,Yes,40,99,1.3,1.71,1.61,1.15,Stable,1.47,Excellent
22-00190,21,Female,Dorm,Regular,No,16,85,1.9,2.06,1.9,1.45,Improving,1.88,Good
22-00191,21,Female,Family House,Regular,No,29,99,1.76,1.67,1.81,1.77,Stable,1.75,Good
22-00192,23,Male,Dorm,Regular,No,16,77,2.05,2.0,2.01,1.9,Stable,2.0,Good
22-00193,23,Male,Family House,Regular,No,17,81,1.82,1.71,1.79,2.02,Stable,1.81,Good
22-00194,23,Female,Dorm,Regular,Yes,15,77,2.11,1.96,2.04,2.05,Stable,2.04,Good
22-00195,22,Male,Family House,Regular,No,27,82,1.95,1.74,1.5,1.93,Stable,1.77,Good
22-00196,24,Female,Family House,Regular,No,32,94,1.55,1.53,1.67,1.68,Stable,1.59,Excellent
22-00197,21,Male,Family House,Regular,No,26,92,1.85,2.25,1.85,1.62,Stable,1.92,Good
22-00198,21,Male,Dorm,Irregular,No,29,94,2.21,1.93,1.64,2.0,Stable,1.95,Good
22-00199,20,Male,Dorm,Regular,Yes,24,91,1.75,1.71,1.81,2.0,Stable,1.79,Good
22-00200,20,Female,Family House,Regular,Yes,14,78,1.98,2.01,2.01,2.3,Declining,2.04,Good
22-00201,22,Female,Dorm,Regular,No,30,84,2.12,1.69,1.81,1.6,Improving,1.84,Good
22-00202,21,Female,Family House,Regular,No,27,94,1.95,1.93,1.74,1.85,Stable,1.87,Good
22-00203,21,Male,Family House,Regular,No,16,92,1.88,1.83,1.88,1.85,Stable,1.86,Good
22-00204,21,Male,Family House,Regular,No,26,88,1.8,1.85,1.65,1.77,Stable,1.77,Good
22-00205,20,Male,Family House,Regular,No,20,93,1.87,1.92,1.71,1.88,Stable,1.84,Good
22-00206,24,Female,Dorm,Regular,No,28,94,1.65,1.35,1.56,1.48,Stable,1.52,Excellent
22-00207,23,Female,Dorm,Regular,Yes,23,85,1.79,1.78,1.78,1.73,Stable,1.77,Good
22-00208,20,Male,Dorm,Regular,Yes,10,76,2.19,2.07,2.15,2.17,Stable,2.15,At-Risk
22-00209,20,Female,Dorm,Regular,Yes,31,90,1.58,1.67,2.08,1.65,Stable,1.75,Good
22-00210,24,Male,Family House,Regular,No,32,98,1.33,1.58,1.36,1.43,Stable,1.42,Excellent
22-00211,23,Female,Dorm,Irregular,No,17,88,2.07,2.12,1.68,2.15,Stable,1.99,Good
22-00212,22,Female,Family House,Regular,Yes,31,85,1.55,1.79,1.57,1.65,Stable,1.63,Excellent
22-00213,23,Male,Family House,Regular,Yes,26,94,1.79,1.76,1.81,1.85,Stable,1.79,Good
22-00214,20,Male,Dorm,Regular,No,21,89,1.83,2.08,2.03,1.82,Stable,1.95,Good
22-00215,20,Female,Dorm,Regular,Yes,30,96,1.56,1.61,1.57,1.85,Stable,1.62,Excellent
22-00216,21,Female,Family House,Regular,No,33,92,1.6,1.5,1.47,1.5,Stable,1.52,Excellent
22-00217,23,Female,Family House,Regular,No,9,86,2.02,2.22,2.18,2.35,Declining,2.17,At-Risk
22-00218,21,Male,Dorm,Regular,No,21,84,2.01,1.83,2.04,2.02,Stable,1.97,Good
22-00219,23,Female,Family House,Regular,No,23,87,1.75,1.82,1.69,1.6,Stable,1.73,Good
22-00220,21,Female,Dorm,Regular,No,15,84,2.26,2.24,2.29,2.23,Stable,2.26,At-Risk
22-00221,23,Male,Dorm,Regular,Yes,33,95,1.55,1.6,1.51,1.48,Stable,1.54,Excellent
22-00222,21,Male,Family House,Regular,No,29,94,1.94,1.79,1.88,2.08,Stable,1.9,Good
22-00223,21,Male,Dorm,Regular,No,23,86,1.7,1.76,1.94,1.77,Stable,1.79,Good
22-00224,24,Male,Family House,Irregular,No,12,73,2.35,2.24,1.79,2.05,Improving,2.12,At-Risk
22-00225,23,Female,Family House,Regular,Yes,32,86,1.73,1.67,1.72,1.8,Stable,1.72,Good
22-00226,22,Male,Family House,Regular,No,26,92,2.08,2.08,2.22,1.52,Improving,2.04,Good
22-00227,23,Male,Family House,Regular,No,24,94,2.01,1.62,1.89,1.98,Stable,1.87,Good
22-00228,21,Female,Family House,Regular,No,25,88,1.88,1.85,2.14,1.82,Stable,1.93,Good
22-00229,23,Male,Family House,Regular,No,20,74,2.14,2.14,2.15,2.33,Stable,2.17,At-Risk
22-00230,22,Male,Family House,Regular,No,38,91,1.61,1.58,1.71,1.62,Stable,1.63,Excellent
22-00231,21,Female,Family House,Irregular,No,27,91,2.27,2.01,1.56,1.68,Improving,1.92,Good
22-00232,24,Male,Family House,Regular,No,36,95,1.32,1.46,1.71,1.9,Declining,1.55,Excellent
22-00233,23,Male,Dorm,Regular,No,16,91,1.77,2.11,1.71,1.62,Stable,1.82,Good
22-00234,22,Female,Dorm,Regular,Yes,28,87,1.75,1.76,1.82,1.48,Stable,1.73,Good
22-00235,23,Male,Family House,Regular,No,17,80,2.07,1.75,1.81,1.93,Stable,1.89,Good
22-00236,22,Female,Family House,Regular,No,17,79,2.0,2.06,2.26,2.05,Stable,2.09,Good
22-00237,20,Male,Family House,Regular,No,27,88,1.88,2.0,1.71,1.75,Stable,1.85,Good
22-00238,20,Male,Family House,Regular,No,37,95,1.33,1.51,1.44,1.7,Declining,1.47,Excellent
22-00239,22,Female,Family House,Regular,Yes,18,83,1.77,1.46,1.81,1.8,Stable,1.7,Good
22-00240,22,Male,Dorm,Regular,No,25,86,1.82,1.75,2.06,2.15,Declining,1.91,Good
22-00241,21,Female,Family House,Regular,No,26,93,1.98,1.89,1.74,1.8,Stable,1.86,Good
22-00242,21,Female,Family House,Regular,No,23,81,1.83,1.65,1.89,1.82,Stable,1.8,Good
22-00243,20,Male,Dorm,Regular,No,29,84,2.05,2.0,1.79,2.0,Stable,1.96,Good
22-00244,20,Female,Family House,Irregular,No,31,90,2.01,1.46,1.46,1.43,Improving,1.63,Excellent
22-00245,23,Female,Family House,Regular,No,27,92,1.99,1.9,1.86,2.17,Stable,1.96,Good
22-00246,22,Male,Dorm,Regular,Yes,32,99,1.64,1.67,1.6,1.65,Stable,1.64,Excellent
22-00247,22,Female,Family House,Irregular,No,18,82,2.04,2.12,1.71,2.15,Stable,1.99,Good
22-00248,23,Male,Family House,Regular,No,24,87,1.81,1.78,2.04,1.98,Stable,1.89,Good
22-00249,22,Female,Family House,Regular,No,28,91,1.96,1.85,1.64,1.98,Stable,1.85,Good
22-00250,23,Female,Family House,Regular,No,25,89,1.89,2.01,1.96,1.9,Stable,1.94,Good
22-00251,22,Male,Dorm,Regular,Yes,22,97,1.58,1.6,1.47,2.05,Declining,1.63,Excellent
22-00252,21,Female,Dorm,Regular,No,25,84,1.85,1.79,1.89,1.62,Stable,1.81,Good
22-00253,22,Male,Dorm,Regular,No,29,95,1.65,1.64,1.5,1.43,Stable,1.57,Excellent
22-00254,20,Female,Family House,Regular,No,9,83,2.18,2.15,2.24,2.05,Stable,2.17,At-Risk
22-00255,20,Male,Dorm,Regular,No,22,89,2.05,1.85,1.89,2.23,Stable,1.98,Good
22-00256,22,Female,Family House,Regular,No,27,93,1.79,1.86,2.17,1.68,Stable,1.89,Good
22-00257,22,Female,Family House,Regular,No,38,93,1.81,1.57,1.62,1.3,Improving,1.62,Excellent
22-00258,20,Female,Dorm,Regular,Yes,29,87,1.86,1.68,1.81,1.88,Stable,1.8,Good
22-00259,22,Female,Family House,Regular,No,39,96,1.58,1.46,1.65,1.35,Stable,1.53,Excellent
22-00260,24,Male,Dorm,Irregular,Yes,25,97,2.08,1.79,1.54,1.9,Stable,1.83,Good
22-00261,21,Male,Family House,Regular,No,38,93,1.69,1.46,1.71,1.65,Stable,1.63,Excellent
